Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
160.00	14.867	220.51	0.0045350	21.753	24.720	88.641	37.660	61.607	308.74	3.2760	25.757	0.037590	supercritical
160.00	14.900	221.08	0.0045233	21.747	24.713	88.610	37.667	61.659	308.79	3.2719	25.776	0.037625	supercritical
160.00	14.933	221.65	0.0045116	21.742	24.707	88.580	37.674	61.710	308.83	3.2679	25.795	0.037660	supercritical
160.00	14.967	222.22	0.0045000	21.736	24.700	88.549	37.680	61.762	308.88	3.2639	25.814	0.037695	supercritical
160.00	15.000	222.80	0.0044884	21.730	24.693	88.518	37.687	61.813	308.94	3.2599	25.833	0.037730	supercritical
160.00	15.033	223.37	0.0044769	21.725	24.687	88.487	37.694	61.865	308.99	3.2558	25.853	0.037765	supercritical
160.00	15.067	223.94	0.0044654	21.719	24.680	88.457	37.700	61.916	309.04	3.2518	25.872	0.037800	supercritical
160.00	15.100	224.51	0.0044540	21.713	24.673	88.426	37.707	61.968	309.09	3.2477	25.891	0.037835	supercritical
160.00	15.133	225.09	0.0044427	21.708	24.666	88.396	37.713	62.019	309.14	3.2437	25.911	0.037870	supercritical
160.00	15.167	225.66	0.0044314	21.702	24.660	88.365	37.720	62.071	309.19	3.2396	25.930	0.037906	supercritical
160.00	15.200	226.24	0.0044202	21.696	24.653	88.335	37.727	62.122	309.25	3.2356	25.949	0.037941	supercritical
160.00	15.233	226.81	0.0044090	21.691	24.646	88.304	37.733	62.174	309.30	3.2315	25.969	0.037976	supercritical
160.00	15.267	227.38	0.0043978	21.685	24.640	88.274	37.740	62.225	309.35	3.2274	25.989	0.038012	supercritical
160.00	15.300	227.96	0.0043868	21.679	24.633	88.244	37.746	62.276	309.41	3.2234	26.008	0.038047	supercritical
160.00	15.333	228.53	0.0043757	21.673	24.626	88.213	37.753	62.328	309.46	3.2193	26.028	0.038083	supercritical
160.00	15.367	229.11	0.0043648	21.668	24.620	88.183	37.759	62.379	309.52	3.2152	26.047	0.038118	supercritical
160.00	15.400	229.68	0.0043538	21.662	24.613	88.153	37.766	62.430	309.58	3.2111	26.067	0.038154	supercritical
160.00	15.433	230.26	0.0043430	21.656	24.606	88.123	37.773	62.481	309.63	3.2070	26.087	0.038190	supercritical
160.00	15.467	230.83	0.0043321	21.651	24.600	88.093	37.779	62.532	309.69	3.2030	26.107	0.038226	supercritical
160.00	15.500	231.41	0.0043214	21.645	24.593	88.063	37.786	62.584	309.75	3.1989	26.127	0.038261	supercritical
160.00	15.533	231.98	0.0043106	21.639	24.586	88.033	37.792	62.635	309.80	3.1948	26.147	0.038297	supercritical
160.00	15.567	232.56	0.0043000	21.634	24.580	88.003	37.798	62.686	309.86	3.1907	26.167	0.038333	supercritical
160.00	15.600	233.14	0.0042894	21.628	24.573	87.973	37.805	62.737	309.92	3.1866	26.187	0.038369	supercritical
160.00	15.633	233.71	0.0042788	21.622	24.566	87.943	37.811	62.788	309.98	3.1824	26.207	0.038405	supercritical
160.00	15.667	234.29	0.0042683	21.617	24.560	87.913	37.818	62.839	310.04	3.1783	26.227	0.038441	supercritical
160.00	15.700	234.86	0.0042578	21.611	24.553	87.883	37.824	62.890	310.10	3.1742	26.247	0.038477	supercritical
160.00	15.733	235.44	0.0042474	21.605	24.546	87.853	37.831	62.941	310.16	3.1701	26.267	0.038514	supercritical
160.00	15.767	236.02	0.0042370	21.600	24.540	87.824	37.837	62.992	310.22	3.1660	26.288	0.038550	supercritical
160.00	15.800	236.59	0.0042267	21.594	24.533	87.794	37.843	63.042	310.28	3.1618	26.308	0.038586	supercritical
160.00	15.833	237.17	0.0042164	21.588	24.526	87.764	37.850	63.093	310.34	3.1577	26.328	0.038622	supercritical
160.00	15.867	237.75	0.0042061	21.583	24.520	87.735	37.856	63.144	310.41	3.1536	26.349	0.038659	supercritical
160.00	15.900	238.32	0.0041960	21.577	24.513	87.705	37.863	63.195	310.47	3.1494	26.369	0.038695	supercritical
160.00	15.933	238.90	0.0041858	21.571	24.506	87.676	37.869	63.245	310.53	3.1453	26.390	0.038732	supercritical
160.00	15.967	239.48	0.0041757	21.566	24.500	87.646	37.875	63.296	310.60	3.1411	26.411	0.038768	supercritical
160.00	16.000	240.06	0.0041657	21.560	24.493	87.617	37.881	63.347	310.66	3.1370	26.431	0.038805	supercritical
160.00	16.033	240.63	0.0041557	21.554	24.487	87.587	37.888	63.397	310.72	3.1328	26.452	0.038842	supercritical
160.00	16.067	241.21	0.0041457	21.548	24.480	87.558	37.894	63.448	310.79	3.1287	26.473	0.038878	supercritical
160.00	16.100	241.79	0.0041358	21.543	24.473	87.529	37.900	63.498	310.86	3.1245	26.493	0.038915	supercritical
